ra,declination,redshift
212.818,-0.95974,0.087054
212.685,-0.86412,0.14009
212.612,-0.83238,0.025562
212.636,-0.841852,0.025397
212.901,-0.956732,0.172551
212.793,-0.849283,0.127413
212.975,-0.800056,0.097751
212.999,-0.813107,0.126981
212.543,-1.0828,0.115527
212.715,-1.09181,0.127444
212.641,-0.988351,0.054052
212.848,-0.842728,0.082989
212.864,-0.988443,0.161481
212.939,-0.904269,0.054369
212.7,-1.14442,0.054312
212.551,-0.873593,0.025327
212.592,-1.11501,0.054139
212.939,-0.230567,0.047812
212.958,-0.480356,0.097662
213.021,-0.588006,0.139546
213.053,-0.612699,0.024915
213.006,-0.29104,0.138216
212.954,-0.706883,0.117327
212.982,-0.720349,0.11641
213.139,-0.280079,0.138404
213.192,-0.131535,0.272837
213.107,-0.25055500000000003,0.138928
213.068,-0.633116,0.025067
212.948,-0.273369,0.146529
213.096,-0.163109,0.128494
213.079,-0.122678,0.017403
212.509,-1.23218,0.117457
212.393,-1.18697,0.182503
212.508,-1.10775,0.054245
212.435,-0.886012,0.115283
212.485,-1.24003,0.024634
212.359,-1.01268,0.083386
212.336,-1.19194,0.083115
212.359,-0.869733,0.071329
212.542,-0.751768,0.107042
212.338,-0.808771,0.172893
212.34,-1.08686,0.520012
212.356,-0.847639,0.278624
212.414,-0.885347,0.114619
212.503,-1.06284,0.049395
212.348,-0.787988,0.070055
212.395,-0.819959,0.082787
212.902,-0.694832,0.116698
212.737,-0.327461,0.146962
212.933,-0.684131,0.136705
212.771,-0.319566,0.138556
212.879,-0.18146,0.168448
212.77,-0.709364,0.139886
212.879,-0.598911,0.117507
212.78,-0.342183,0.054638
212.835,-0.497422,0.025124
212.848,-0.300517,0.025983
212.852,-0.27302,0.082399
212.874,-0.524969,0.359675
212.817,-0.176308,0.106816
212.789,-0.242014,0.180906
212.774,-0.113165,0.117522
212.703,-0.311225,0.137653
212.23,-1.25515,0.194893
212.218,-0.909587,0.082929
212.18,-1.16165,0.005006
212.002,-0.821824,0.054656
212.206,-0.898881,0.08315
212.056,-0.810349,0.174145
212.155,-0.920713,0.08301
212.122,-0.84146,0.055713
212.091,-1.07534,0.087698
212.027,-0.821231,0.051881
212.212,-0.876671,0.111159
212.282,-0.872329,0.115298
212.098,-0.828539,0.17489
212.121,-1.25328,0.465532
212.095,-0.74621,0.079201
212.528,-0.366277,0.103441
212.375,-0.54372,0.083037
212.61,-0.588559,0.053737
212.471,-0.383959,0.054469
212.514,-0.355839,0.082955
212.559,-0.578541,0.025811
212.497,-0.377378,0.081879
212.54,-0.283327,0.053336
212.473,-0.08705,0.082904
212.417,-0.519002,0.083355
212.533,-0.396776,0.096736
212.434,-0.448393,0.054366
212.391,-0.290831,0.070326
211.952,-0.931323,0.05256
211.842,-1.09639,0.055014
211.912,-0.955326,0.053794
211.895,-0.970769,0.053983
211.952,-1.22192,0.404386
211.943,-1.01445,0.079088
212.081,-1.19514,0.140939
211.945,-1.04997,0.025981
211.815,-0.92566,0.051474
211.905,-0.764777,0.104623
211.976,-0.856248,0.055164
211.969,-0.915195,0.054681
211.913,-0.914565,0.159987
211.907,-0.806744,0.053078
211.961,-0.950377,0.051858
211.929,-0.950167,0.159789
212.173,-0.169619,0.053005
212.358,-0.335194,0.071009
212.165,-0.434149,0.113154
212.349,-0.577272,0.143306
212.273,-0.424973,0.147172
212.164,-0.366181,0.076649
212.164,-0.308371,0.46513
212.232,-0.669798,0.145264
212.312,-0.435727,0.23897
212.183,-0.573859,0.054145
212.158,-0.225156,0.052063
212.262,-0.299156,0.238612
212.119,-0.230987,0.17203
212.137,-0.233548,0.095656
212.374,-0.157574,0.093407
212.351,-0.199808,0.092689
212.309,-0.560877,0.054268
212.298,-0.41225,0.083165
212.08,-0.648284,0.052497
212.088,-0.591286,0.05231
212.086,-0.675461,0.052497
212.079,-0.321016,0.112965
212.067,-0.72791,0.052158
212.132,-0.127046,0.025071
211.991,-0.301246,0.142391
212.024,-0.19416,0.053505
212.007,-0.225614,0.053246
212.056,-0.289674,0.083121
212.104,-0.589145,0.052646
212.043,-0.259411,0.425158
211.87,-0.740913,0.108679
211.878,-0.340416,0.166107
211.689,-0.596413,0.052738
211.921,-0.716353,0.024961
211.733,-0.374335,0.105225
211.797,-0.377461,0.079724
211.808,-0.271229,0.162243
211.771,-0.241161,0.211081
211.775,-0.256727,0.212228
211.972,-0.32437,0.05306
211.829,-0.157252,0.082904
211.839,-0.174088,0.261171
211.676,-1.2447,0.175373
211.81,-1.19536,0.054448
211.643,-1.18708,0.025796
211.679,-1.13421,0.142159
211.645,-1.21983,0.058937
211.635,-1.05912,0.146422
211.802,-1.01298,0.050876
211.64,-0.762617,0.109723
211.583,-0.789248,0.082367
211.796,-0.878612,0.053062
211.803,-0.974829,0.053443
211.693,-0.788098,0.109668
211.75,-0.850523,0.029564
211.574,-1.01658,0.054809
211.595,-0.223667,0.105288
211.666,-0.35728,0.112902
211.389,-0.615139,0.070225
211.663,-0.118927,0.113169
211.636,-0.361005,0.112758
211.567,-0.641121,0.082491
211.65,-0.208221,0.45750999999999997
211.636,-0.24622,0.111293
211.484,-0.444976,0.105216
211.475,-0.745434,0.059217
211.667,-0.176667,0.1073
211.636,-0.293911,0.112425
211.652,-0.483277,0.090016
211.506,-0.31054,0.02455
211.473,-1.20448,0.054267
211.549,-1.22791,0.053209
211.472,-1.24566,0.054888
211.549,-0.965438,0.070356
211.537,-1.03689,0.070096
211.516,-1.13323,0.199997
211.502,-1.1237,0.282384
211.491,-1.23034,0.054073
211.355,-0.811356,0.049192
211.437,-0.874461,0.143836
211.414,-0.92243,0.094555
211.351,-0.792923,0.049113
211.309,-0.641614,0.074106
211.309,-0.487128,0.070115
211.514,0.343174,0.053619
211.554,-0.027757,0.112044
211.558,0.092998,0.458901
211.554,0.459766,0.076845
211.609,0.494956,0.164733
211.463,0.047994,0.112136
211.538,0.083074,0.075335
211.476,0.035471,0.165433
211.717,1.62e-4,0.024862
211.48,0.294454,0.132066
211.742,0.410218,0.373605
211.51,0.172328,0.112416
211.976,0.85947,0.108259
211.988,0.942174,0.459413
211.866,0.928603,0.451117
211.875,0.969359,0.176843
211.716,0.850144,0.047571
211.775,0.820426,0.129676
211.789,0.727572,0.183373
211.773,0.85641,0.048556
212.025,0.749242,0.076608
211.964,0.749382,0.082883
211.8,0.520224,0.082895
211.847,0.475662,0.10532
211.887,0.630929,0.113435
211.866,0.048488,0.4272
211.954,0.303959,0.113247
211.802,0.554099,0.165634
211.97,0.451768,0.076612
211.947,0.404038,0.106713
211.774,0.258302,0.257391
211.883,0.034452000000000003,0.164982
211.912,-0.043149,0.258015
211.897,0.392927,0.105373
211.966,0.467408,0.10659
211.956,0.654048,0.252604
211.766,-0.085709,0.426238
212.143,0.584804,0.107639
212.011,0.227458,0.133536
212.051,0.519685,0.138366
211.981,0.41492,0.085027
211.989,0.294956,0.113406
211.959,-0.087427,0.085321
212.025,0.363155,0.113344
211.992,0.113879,0.025567
211.991,-0.070073,0.173392
211.994,0.024408,0.085352
212.013,0.049298,0.085584
212.192,0.072031,0.053124
212.208,0.073523,0.085055
212.222,0.113675,0.138019
212.105,0.351409,0.10535
212.251,0.54109,0.136582
212.409,0.221898,0.135346
212.545,0.349668,0.129126
212.373,0.14367,0.054107
212.25,0.446867,0.025205
212.276,0.188792,0.05367
212.551,0.109238,0.337633
212.515,0.549923,0.135685
212.515,0.500637,0.422702
212.442,0.062315,0.054266
212.43,-0.010244,0.134821
212.27,0.108425,0.082674
212.515,0.213951,0.135952
212.461,-0.044888,0.134953
212.329,-0.078463,0.053405
212.259,0.294913,0.4695
212.089,1.2011,0.115734
212.34,1.02775,0.057526
212.118,1.02978,0.123979
212.232,1.15937,0.372464
212.296,1.07919,0.17716
212.218,1.18291,0.376049
212.269,1.13781,0.142523
212.115,0.700258,0.025561
212.074,1.0141,0.124368
212.29,0.762783,0.114281
212.162,0.65949,0.113844
212.234,1.0142,0.12405
212.2,0.812039,0.113263
212.787,0.517589,0.1049
212.61,0.444109,0.052736
212.759,0.608504,0.026462
212.634,0.636526,0.105356
212.818,0.489449,0.053081
212.687,0.64921,0.14982
212.684,0.669876,0.148587
212.733,0.613072,0.178255
212.798,0.575455,0.13500499999999999
212.635,0.224187,0.029096
212.554,0.29924,0.301202
212.627,0.678592,0.148987
212.864,0.451119,0.140952
212.801,0.085846,0.13641
212.756,0.021146,0.106687
212.608,0.27421,0.496996
212.564,1.12295,0.146678
212.729,0.985828,0.180295
212.429,1.16562,0.114194
212.74,1.03575,0.02524
212.379,1.19757,0.114355
212.433,0.923367,0.200915
212.743,0.866925,0.180085
212.606,0.782884,0.179493
212.688,1.04635,0.025486
212.377,0.99675,0.144739
212.5,0.73179,0.135598
212.547,0.865873,0.025501
212.398,0.994508,0.095328
212.639,0.887666,0.124707
212.358,0.728608,0.164645
212.403,0.876057,0.145975
212.645,1.01836,0.177522
212.946,0.405647,0.261792
212.904,0.440065,0.147001
212.976,0.33501,0.147056
212.96,0.513299,0.054513
212.885,0.465809,0.144597
212.916,-0.054882,0.13098
212.963,0.538415,0.10574
212.974,-0.034167,0.052992
212.973,-0.050637,0.053729
212.969,0.352755,0.14699
212.912,0.391826,0.14642
212.945,0.02942,0.114118
212.878,-0.083059,0.054395
212.894,0.166181,0.052906
212.975,0.222968,0.05548
212.789,0.969971,0.123802
212.932,0.720739,0.024857
212.954,0.719526,0.124583
212.843,0.807817,0.200118
212.887,0.786931,0.126307
212.812,0.863195,0.125258
212.772,0.942793,0.12439
212.882,0.744013,0.124479
212.77,0.740824,0.106695
212.91,0.705291,0.124338
212.899,0.689538,0.156624
212.752,0.935756,0.105305
212.787,0.695814,0.175329
212.898,0.734557,0.124187
212.875,0.699983,0.0531
212.824,0.718268,0.078571
212.901,0.847573,0.504219
213.017,-0.020079,0.095609
213.063,0.053849,0.053848
213.08,0.056062,0.127521
213.024,0.485372,0.054641
213.155,0.141695,0.054054
213.136,0.098394,0.126518
213.09,0.530451,0.053692
213.04,0.531794,0.105424
212.982,0.466587,0.054654
213.122,0.052757,0.186607
213.091,0.07697,0.127313
213.034,-0.027648,0.095548
212.978,0.497838,0.054274
212.983,0.111833,0.151029
213.117,0.096534,0.054069
213.116,-0.043115,0.126913
213.136,0.043822,0.125173
214.247,-0.883987,0.22639
214.588,-0.745183,0.095306
214.388,-0.585918,0.147796
214.541,-0.785019,0.049793
214.201,-0.524025,0.125628
214.121,-0.743893,0.048742
214.329,-0.610524,0.141183
214.151,-0.882751,0.085831
214.198,-0.805153,0.197486
213.82,-0.99219,0.080764
214.237,-0.782289,0.125407
214.171,-0.815936,0.186802
214.199,-0.554707,0.181476
214.253,-0.671149,0.139511
214.243,-0.935049,0.186369
214.012,-0.688651,0.127347
214.623,-0.521931,0.085228
214.766,-0.417931,0.181116
214.534,-0.351925,0.405508
214.555,-0.366695,0.132551
214.569,-0.37872,0.036376
214.535,-0.38735,0.181552
214.544,-0.567465,0.050394
214.631,-0.485188,0.051194
214.812,-0.426031,0.051822
214.796,-0.468822,0.134372
214.841,-0.317112,0.168608
214.613,-0.23475,0.120579
214.839,-0.205578,0.120741
214.815,-0.145474,0.084999
214.714,-0.280205,0.051425
214.714,-0.561939,0.138655
214.682,-0.519588,0.147122
214.852,-0.122132,0.120609
214.386,-0.91507,0.086131
214.199,-0.948301,0.184256
214.102,-0.935681,0.076499
213.861,-1.2276,0.149899
213.926,-1.11409,0.148857
214.459,-0.983756,0.149148
213.899,-1.25696,0.150035
214.332,-1.03052,0.125451
213.958,-1.09519,0.137624
213.968,-1.0094,0.1477
214.125,-0.896365,0.12701
214.061,-0.955307,0.144112
213.944,-0.991777,0.149209
214.025,-0.935742,0.048562
214.397,-0.496219,0.129182
214.443,-0.504373,0.082179
214.367,-0.4451,0.123324
214.366,-0.423462,0.122797
214.099,-0.626642,0.12569
214.259,-0.16358,0.051557
214.493,-0.295886,0.123396
214.421,-0.144198,0.049602
214.273,-0.457716,0.129867
214.412,-0.271667,0.147909
214.384,-0.484894,0.082273
214.409,-0.482173,0.082584
214.464,-0.310181,0.123036
214.482,-0.166291,0.125535
214.341,-0.238015,0.16894
214.453,-0.181634,0.125691
214.186,-0.578064,0.378946
213.802,-1.12855,0.076694
213.887,-1.24382,0.14657
214.07,-1.23485,0.124502
214.283,-1.09063,0.087524
214.172,-1.21443,0.125125
213.837,-0.786991,0.148925
214.001,-1.1042,0.139875
214.199,-1.07057,0.125024
213.957,-1.13609,0.148539
213.887,-0.747725,0.125109
213.819,-0.661279,0.136865
213.943,-1.18681,0.049942
213.854,-0.572597,0.289804
213.913,-1.23028,0.127701
213.812,-0.526468,0.379351
213.922,-0.647734,0.148352
213.786,-0.78299,0.038006
214.079,-0.194495,0.08374
213.955,-0.411225,0.184104
214,-0.421907,0.13741
213.92,-0.860674,0.138469
214.171,-0.301573,0.078278
214.082,-0.463251,0.076943
213.84,-1.00201,0.148832
214.082,-0.431022,0.077442
214.119,-0.505161,0.128568
213.924,-0.91088,0.139036
214.025,-0.153815,0.102948
214.2,-0.186716,0.150639
213.942,-0.632134,0.127495
214.139,-0.407934,0.13987
214.138,-0.293213,0.077224
213.963,-0.248183,0.184493
214.194,-0.215733,0.126822
214.072,-0.156982,0.083597
213.994,-1.08866,0.138135
214.133,-1.18214,0.049736
213.603,-0.829337,0.039583
213.455,-0.775217,0.119544
213.578,-1.20406,0.176434
213.628,-0.780292,0.303216
213.594,-1.22455,0.466691
213.561,-0.795925,0.118687
213.758,-0.754962,0.14826
213.753,-0.796948,0.03836
213.461,-0.638619,0.122198
213.507,-0.634373,0.121067
213.757,-0.860242,0.038197
213.589,-0.66817,0.141183
213.729,-1.24698,0.122835
213.473,-0.757571,0.118108
213.482,-1.00047,0.226098
213.623,-0.640426,0.071608
213.758,-0.472456,0.146032
213.775,-0.428023,0.146407
213.771,-0.485632,0.137312
213.919,-0.584211,0.126988
213.829,-0.471002,0.139063
213.937,-0.591747,0.126422
213.783,-0.367609,0.184533
213.758,-0.424591,0.14028
213.785,-0.493247,0.138795
213.797,-0.3251,0.086623
213.836,-0.361171,0.136682
213.84,-0.382533,0.126377
213.864,-0.185201,0.181469
213.782,-0.154836,0.355004
213.801,-0.292327,0.124943
213.797,-0.269822,0.124896
213.913,-0.447701,0.084713
213.698,-0.312982,0.138157
213.727,-0.38586,0.185634
213.716,-0.367937,0.139557
213.728,-0.329556,0.140216
213.718,-0.43651,0.138667
213.735,-0.365512,0.137532
213.746,-0.387336,0.143051
213.74,-0.409009,0.146181
213.756,-0.504275,0.144221
213.763,-0.378591,0.142814
213.672,-0.143804,0.136344
213.699,-0.328567,0.382485
213.715,-0.293203,0.146294
213.721,-0.31553,0.139908
213.741,-0.349616,0.138815
213.77,-0.246228,0.038698
213.726,-0.274426,0.14
213.648,-0.165776,0.138237
213.665,-0.561667,0.184911
213.613,-0.195252,0.053558
213.679,-0.543595,0.18499
213.701,-0.687199,0.096927
213.622,-0.623984,0.083643
213.634,-0.413833,0.137676
213.733,-0.569318,0.082998
213.734,-0.690916,0.148192
213.629,-0.607933,0.087611
213.629,-0.511945,0.137635
213.632,-0.296812,0.303982
213.635,-0.261721,0.138144
213.71,-0.542645,0.086952
213.695,-0.478168,0.140991
213.651,-0.406572,0.185873
213.681,-0.282227,0.038444
213.626,-0.374361,0.137125
213.675,-0.433867,0.138011
213.618,-0.330071,0.140616
213.678,-0.315333,0.138553
213.272,-0.846224,0.025817
213.452,-1.23474,0.12049
213.288,-0.891992,0.122697
213.369,-0.776138,0.187279
213.303,-0.752221,0.070134
213.434,-1.16596,0.176869
213.352,-1.10471,0.06977
213.349,-0.636695,0.120629
213.255,-1.12411,0.076763
213.452,-1.03614,0.121781
213.355,-0.747428,0.159846
213.385,-0.767078,0.126637
213.335,-0.693766,0.122466
213.298,-0.710105,0.119467
213.393,-0.879774,0.11613
213.333,-1.02675,0.070252
213.362,-0.919414,0.119738
213.427,-0.735667,0.122258
213.483,-0.389199,0.139965
213.468,-0.546506,0.082798
213.487,-0.13649,0.144182
213.58,-0.211217,0.143222
213.577,-0.587487,0.135896
213.49,-0.415521,0.138296
213.531,-0.396362,0.139796
213.598,-0.45948,0.121537
213.602,-0.377418,0.139357
213.598,-0.219288,0.14061
213.54,-0.176599,0.124179
213.487,-0.308054,0.128482
213.541,-0.140849,0.124544
213.583,-0.331161,0.143889
213.471,-0.188196,0.123563
213.585,-0.191665,0.146183
213.465,-0.169268,0.141494
213.568,-0.351269,0.139213
213.253,-0.900806,0.120425
213.158,-1.19573,0.193661
213.152,-1.03641,0.053765
213.101,-0.732047,0.054479
213.233,-0.796453,0.186314
213.1,-0.994171,0.054003
213.114,-0.853775,0.032382
213.147,-0.661821,0.070191
213.226,-0.758286,0.118755
213.064,-1.13355,0.181032
213.155,-1.01221,0.053779
213.104,-0.832029,0.026016
213.253,-0.831079,0.02607
213.121,-0.633506,0.136134
213.037,-1.14478,0.181751
213.054,-0.846379,0.032547
213.105,-0.791812,0.186523
213.229,-0.629576,0.446108
213.343,-0.40164299999999997,0.128467
213.235,-0.492249,0.227775
213.265,-0.629614,0.187213
213.463,-0.135086,0.14414
213.432,-0.27395,0.125878
213.316,-0.567249,0.140282
213.226,-0.537564,0.126574
213.416,-0.204209,0.139599
213.41,-0.248199,0.129091
213.348,-0.486827,0.120221
213.425,-0.350392,0.140269
213.384,-0.615748,0.121611
213.349,-0.260639,0.132351
213.283,-0.454594,0.126665
213.229,-0.437108,0.083281
213.429,-0.454238,0.120561
213.264,-0.12859,0.160685
212.92,-1.05216,0.024135
212.454,-0.876938,0.278793
212.896,-1.25637,0.138013
213.024,-1.0561,0.182236
213.032,-0.834322,0.194822
212.987,-0.652,0.117049
212.962,-1.18156,0.15003
212.624,-0.702548,0.079094
212.908,-1.1591,0.005163
213.034,-1.00499,0.077049
212.995,-0.906072,0.352252
213.208,-0.572932,0.138236
213.065,-0.633053,0.025599
213.198,-0.587287,0.379123
213.209,-0.295819,0.138045
213.164,-0.439255,0.097253
213.104,-0.627636,0.135613
213.16,-0.487272,0.378744
213.218,-0.378868,0.096175
213.121,-0.198304,0.129305
213.088,-0.15767,0.080653
213.113,-0.483481,0.359754
213.035,-0.123661,0.130865
212.635,-0.237835,0.138554
213.204,-0.347786,0.115862
212.757,-0.332298,0.054745
212.77,-0.318506,0.138486
212.907,1.12228,0.462053
212.873,1.14167,0.470589
212.852,1.18526,0.105187
212.628,0.633461,0.106729
212.936,1.21392,0.177158
212.516,1.25371,0.143109
212.974,0.984803,0.159381
212.93,0.720097,0.024566
212.873,0.689925,0.14317
212.683,0.622125,0.148887
212.875,0.986652,0.148711
212.934,0.981278,0.093498
212.753,0.719789,0.177664
212.901,0.978605,0.145767
212.889,1.15948,0.025005
212.794,0.578797,0.052826
212.465,-0.082983,0.054583
212.943,0.236365,0.375955
212.891,0.178631,0.476083
212.982,0.108006,0.149708
212.884,0.466015,0.255106
213.148,0.484718,0.179639
213.01,-0.025106,0.161107
213.013,0.131808,0.128286
213.114,0.106942,0.129352
212.965,-0.050881,0.054902
213.109,0.207969,0.138212
213.027,1.20153,0.025053
212.981,1.11065,0.094634
212.996,1.10295,0.0944
213.151,1.05788,0.046313
213.246,1.01409,0.05277
213.076,1.17377,0.123022
213.243,1.24797,0.105834
213.168,0.756771,0.260395
213.128,0.900506,0.052808
213.014,1.04257,0.145157
213.183,1.14056,0.22661
212.982,0.839349,0.200937
213.099,0.639693,0.261731
213.106,0.907518,0.053906
213.026,0.787402,0.406671
213.069,1.21586,0.084436
212.976,1.06999,0.147059
213.306,0.303157,0.20675
213.463,0.46149,0.14267
213.483,-0.034027,0.124307
213.152,0.529938,0.263391
213.273,0.342289,0.142009
213.348,0.57353,0.138178
213.344,0.405508,0.34924500000000003
213.273,0.458427,0.189662
213.27,0.089697,0.468025
213.374,-0.025792,0.139962
213.273,-0.016911,0.17999
213.261,0.146378,0.054663
213.389,0.185802,0.123101
213.416,-0.003801,0.187851
213.461,0.261048,0.127478
213.393,-0.028392,0.125374
213.343,0.141787,0.125513
213.497,1.14458,0.138183
213.366,0.915337,0.123051
213.336,1.17709,0.387414
213.44,1.18034,0.054473
213.311,0.91774,0.233504
213.534,1.09866,0.179505
213.486,0.896417,0.053083
213.297,0.844618,0.163796
213.384,1.19642,0.298264
213.514,0.755562,0.478302
213.431,1.13256,0.17968
213.265,0.981099,0.053544
213.37,1.17031,0.048139
213.247,0.921184,0.052904
213.675,0.186399,0.12368
213.661,0.477508,0.123695
213.65,0.210057,0.123242
213.609,-0.041232,0.139696
213.491,0.458592,0.144137
213.541,-0.101697,0.140897
213.669,0.396204,0.054295
213.653,0.263346,0.121876
